"ountry(or·dependent·territory)","Population","%·of·worldpopulation","Total·Area","Percentage·Water","Total·Nominal·GDP1","Total·Nominal·GDP2","new nominal gdp","Per·Capita·GDP"
" China","1394350000","18.20","9596961","2.8","14.092","1000000000000","14092000000000","10.087 "
" India","1337630000","17.50","3287263","9.6","2.848","1000000000000","2848000000000","2.134 "
" United States","327918000","4.28","3796742","6.97","19.390","1000000000000","19390000000000","59.501 "
" Brazil","209650000","2.74","8515767","0.65","2.139","1000000000000","2138999999999.9998","10.224 "
" Pakistan","202169000","2.64","881913","2.86","304.4","1000000000","304400000000","1.629 "
" Nigeria","193392517","2.53","923768","1.4","376.28","1000000000","376280000000","1.994 "
" Bangladesh","165278000","2.16","147570","6.4","285.817","1000000000","285817000000","1.754 "
" Russia","146877088","1.92","17098246","13","1.719","1000000000000","1719000000000","11.946 "
" Japan","126420000","1.65","37797389","0.8","5.167","1000000000000","5167000000000","40.849 "
" Mexico","124737789","1.63","1972550","2.5","1.250","1000000000000","1250000000000","10.021 "
" Ethiopia","107534882","1.40","1104300","0.7","85.664","1000000000","85664000000","910"
" Philippines","106540000","1.39","300000","0.61","371.8","1000000000","371800000000","3.541"
" Egypt","97639400","1.28","1010408","0.632","237.073","1000000000","237073000000","2.501 "
" Vietnam","94660000","1.24","331698","6.4","240.779","1000000000","240779000000","2.546 "
" DR Congo","84004989","1.10","2345409","3.32","40.415","1000000000","40415000000","446"
" Germany","82792400","1.08","357386","","3.685","1000000000000","3685000000000","44.550 "
" Iran","81830600","1.07","1648195","7.07","438.3","1000000000","438300000000","5.383"
" Turkey","80810525","1.06","783356","1.3","909","1000000000","909000000000","11.114 "
" Thailand","69183173","0.90","513120","0.4","514.700","1000000000","514700000000.00006","7.588"
" France","67323000","0.88","640679","","2.583","1000000000000","2583000000000","39.869 "
" United Kingdom","66040229","0.86","242495","1.34","2.624","1000000000000","2624000000000","39.734 "
" Italy","60421460","0.79","301340","2.4","2.181","1000000000000","2181000000000","35.913 "
" South Africa","57725600","0.75","1221037","0.38","371","1000000000","371000000000","6.459 "
" Tanzania","54199163","0.71","947303","6.4","55.666","1000000000","55666000000","1.100"
" Myanmar","53862731","0.70","676578","3.06","69.322","1000000000","69322000000","1.299 "
" Georgia","3729600","0.05","69700","","15.23","1000000000","15230000000","4.370 "
" Slovenia","2066880","0.03","20273","0.7","56.933","1000000000","56933000000","27.535 "
" Latvia","1923400","0.03","64589","1.57","30.176","1000000000","30176000000","18.472"
" Kosovo","1798506","0.02","10908","1.0","7.73","1000000000","7730000000","4.140"
" Guinea-Bissau","1584763","0.02","36125","22.4","1.295","1000000000","1295000000","761"
