"Indirizzo1","Provincia","Comune","Cap","DenominazioneStruttura","NroCivico","Telefono1","Telefono2","RecapitiFax","EMail","SitoWeb","DistanzeParcheggioEsterno(Meters)","DistanzeStazioneFerroviaria(Km)1","DistanzeStazioneFerroviaria(Km)2","DistanzeNomeStazioneFerroviaria","zipcode"
"Via Giordano Bruno","TORINO","TORINO","10100","BUENA VISTA","191","3914089452","0112386330","","info@buenavista.torino.it","www.acmos.net","0","","","","10134"
"San Domenico","TORINO","TORINO","10100","CASA IN CENTRO","13/I","3290552565","","114319268","casaincentro@coopaccomazzi.it","www.coopaccomazzi.it","15","1","","PORTA SUSA","10122"
"Via Capriolo Luigi","TORINO","TORINO","10100","CASA OASI","18","0113835245","3371320952","113802905","casa.oasi@gruppoarco.org","www.gruppoarco.org/casaoasi","","2","","PORTA SUSA","10139"
"Via Massena Andrea","TORINO","TORINO","10100","CASA SANT'ANNA","36","0115166532","3317049877","115166599","casasantanna.to@istituto-santanna.it","","500","0.6","""","PORTA NUOVA","10128Ê"
"Via Massena Andrea","TORINO","TORINO","10100","CASA SANT'ANNA","36","0115166532","3317049877","115166599","casasantanna.to@istituto-santanna.it","","500","0.6","""","PORTA NUOVA","10128"
"Via Cottolengo","TORINO","TORINO","10100","CIVIVO 15","15","3429924123","","","civivo15@providencehouse.it","","50","2.4","","PORTAÂ·SUSA","10152"
"VIA DELLE ROSINE","TORINO","TORINO","10100","COLLEGIO UNIVERSITARIO R. EINAUDI - SEZ. MOLE","3","118126856","","118171008","concorsi@collegioeinaudi.it","www.collegioeinaudi.com","","1.9","""","PORTA NUOVA","10123"
"Via Maria Vittoria","TORINO","TORINO","10100","COLLEGIO UNIVERSITARIO R. EINAUDI - SEZ. PO","39","118126853","","118171008","concorsi@collegioeinaudi.it","www.collegioeinaudi.it","","1.9","""","PORTA NUOVA","10123Ê"
"Via Bobbio","TORINO","TORINO","10100","COLLEGIO UNIVERSITARIO R. EINAUDI - SEZ. SAN PAOLO","3","113851944","","118171008","concorsi@collegioeinaudi.it","www.collegioeinaudi.it","","3.3","""","PORTA NUOVA","10141Ê"
"Corso Unione Sovietica","TORINO","TORINO","10100","DON BOSCO YOUTH HOUSE","312","116198311","","116198421","economo@agnelli.it","www.agnelli.it","10","4","","LINGOTTO","10135"
"Via San Secondo","TORINO","TORINO","10100","FOYER - YWCA UCDG","70","0115683369","0115819571","115131427","segreteria@ywcaitalia.it","","","1","","PORTA NUOVA","10128"
"Via Lanfranchi Francesco","TORINO","TORINO","10100","FRATERNITA'","16","0118192658","3358091345","","fratuniversitarie@gmail.com","","0","1.5","","PORTA NUOVA / SUSA","10131"
"Via Accademia Albertina","TORINO","TORINO","10100","ISTITUTO ALFIERI - CARRU'","14","118395391","","118395391","amministrazione@istitutoalfiericarru.it","www.istitutoalfiericarru.it","100","","","","10123"
"Via Giolitti Giovanni","TORINO","TORINO","10100","ISTITUTO SUORE SAN GIUSEPPE","29","118177874","","118123466","istitsg_ferie@yahoo.it","","200","0.8","","PORTA NUOVA","10123"
"Via Santa Lucia","TORINO","TORINO","10100","OASI MARIA CONSOLATA","89/97","116612300","","116612300","oasicavoretto@gruppoabele.org","www.oasicavoretto.it","300","6","","PORTA NUOVA","10133"
"Corso Venezia","TORINO","TORINO","10100","OPEN 011 - CASA DELLA MOBILITA' GIOVANILE","11","11250535","","112215919","info@open011.it","www.open011.it","0","4","","PORTAÂ·SUSA","10147"
"Strada Comunale Cascinotto","TORINO","TORINO","10100","OSTELLO DELL'ANTICA ABBADIA","59","112730972","","","ostello.abbadia@virgilio.it","www.ostelloanticaabbadia.it","10","","","","10156"
"Strada Comunale Cascinotto","TORINO","TORINO","10100","OSTELLO DELL'ANTICA ABBADIA","59","112730972","","","ostello.abbadia@virgilio.it","www.ostelloanticaabbadia.it","10","","","","10156"
"Via Maddona Della Salette","TORINO","TORINO","10100","PENSIONATO LAVORATORI LA SALETTE","20","3663573585","","11710753","torinolasalette@gmail.com","","10","3.5","","PORTA SUSA","10146"
"Piazza Rebaudengo Conti Di","TORINO","TORINO","10100","PENSIONATO REBADUE","22","112429711","","112429799","economato@rebanet.it","www.rebanet.it","20","6","","PORTA SUSA","10155"
"Piazza Rebaudengo Conti Di","TORINO","TORINO","10100","PENSIONATO REBADUE","22","112429711","","112429799","economato@rebanet.it","www.rebanet.it","20","6","","PORTA SUSA","10155"
"Via Delle Rosine","TORINO","TORINO","10100","PENSIONATO ROSA GOVONE","7","3420184774","","114319268","casagovone@coopaccomazzi.it","www.coopaccomazzi.it","50","2.5","""","PORTA NUOVA / SUSA","10123"
"Corso Palestro","TORINO","TORINO","10100","PENSIONATO UNIVERSITARIO ARTIGIANELLI","14","3484008019","","115625824","universitari@educarecoop.org","","0","0.8","","PORTAÂ·SUSA","10122"
"Via Maria Ausiliatrice","TORINO","TORINO","10100","PENSIONATO UNIVERSITARIO SALESIANO SAN GIUSEPPE","36","115224822","","115224395","cus.valdocco@31gennaio.net","","30","2","","PORTA SUSA","10152"
"Via Maria Ausiliatrice","TORINO","TORINO","10100","PENSIONATO UNIVERSITARIO SALESIANO SAN GIUSEPPE","36","115224822","","115224395","cus.valdocco@31gennaio.net","","30","2","","PORTA SUSA","10152"
"PIAZZA PALEOCAPA","TORINO","TORINO","10100","ATTIC HOSTEL TORINO","2","1119704651","","1119704651","info@attichostel.it","www.attichostel.it","10","0.2","","PORTA NUOVA","10121"
"CORSO PALERMO","TORINO","TORINO","10100","BAMBOO ECO HOSTEL","90/D","11235084","","","info@bambooecohostel.it","www.bambooecohostel.it","","4","","PORTA NUOVA / SUSA","10154"
