Provincia,Comune,Cap,DenominazioneStruttura,Indirizzo,NroCivico,Telefono,phone number 2,RecapitiFax,EMail,SitoWeb,DistanzeParcheggioEsternoM (meters),DistanzeStazioneFerroviaria (Km),DistanzeNomeStazioneFerroviaria
TORINO,TORINO,10100,BUENA VISTA,10134,191,3914089452,112386330,,info@buenavista.torino.it,www.acmos.net,0 ,,
TORINO,TORINO,10100,CASA IN CENTRO,10122,13/I,3290552565,,114319268,casaincentro@coopaccomazzi.it,www.coopaccomazzi.it,15 ,1,PORTA SUSA
TORINO,TORINO,10100,CASA OASI,10139,18,113835245,3371320952,113802905,casa.oasi@gruppoarco.org,www.gruppoarco.org/casaoasi,,2,PORTA SUSA
TORINO,TORINO,10100,CASA SANT'ANNA,10128,36,115166532,3317049877,115166599,casasantanna.to@istituto-santanna.it,,500 ,0.6,PORTA NUOVA
TORINO,TORINO,10100,CIVIVO 15,10152,15,3429924123,,,civivo15@providencehouse.it,,50,2.4,PORTA SUSA
TORINO,TORINO,10100,COLLEGIO UNIVERSITARIO R. EINAUDI - SEZ. MOLE,10123,3,118126856,,118171008,concorsi@collegioeinaudi.it,www.collegioeinaudi.com,,1.9,PORTA NUOVA
TORINO,TORINO,10100,COLLEGIO UNIVERSITARIO R. EINAUDI - SEZ. PO,10123,39,118126853,,118171008,concorsi@collegioeinaudi.it,www.collegioeinaudi.it,,1.9,PORTA NUOVA
TORINO,TORINO,10100,COLLEGIO UNIVERSITARIO R. EINAUDI - SEZ. SAN PAOLO,10141,3,113851944,,118171008,concorsi@collegioeinaudi.it,www.collegioeinaudi.it,,3.3,PORTA NUOVA
TORINO,TORINO,10100,DON BOSCO YOUTH HOUSE,10135,312,116198311,,116198421,economo@agnelli.it,www.agnelli.it,10,4,Lingotto
TORINO,TORINO,10100,FOYER - YWCA UCDG,10128,70,115683369,115819571,115131427,segreteria@ywcaitalia.it,,,1,PORTA NUOVA
TORINO,TORINO,10100,FRATERNITA',10131,16,118192658,3358091345,,fratuniversitarie@gmail.com,,0 ,1.5,PORTA NUOVA / SUSA
TORINO,TORINO,10100,ISTITUTO ALFIERI - CARRU',10123,14,118395391,,118395391,amministrazione@istitutoalfiericarru.it,www.istitutoalfiericarru.it,100 ,,
TORINO,TORINO,10100,ISTITUTO SUORE SAN GIUSEPPE,10123,29,118177874,,118123466,istitsg_ferie@yahoo.it,,200 ,0.8,PORTA NUOVA
TORINO,TORINO,10100,OASI MARIA CONSOLATA,10133,89/97,116612300,,116612300,oasicavoretto@gruppoabele.org,www.oasicavoretto.it,300 ,6,PORTA NUOVA
TORINO,TORINO,10100,OPEN 011 - CASA DELLA MOBILITA' GIOVANILE,10147,11,11250535,,112215919,info@open011.it,www.open011.it,0 ,4,PORTA SUSA
TORINO,TORINO,10100,OSTELLO DELL'ANTICA ABBADIA,10156,59,112730972,,,ostello.abbadia@virgilio.it,www.ostelloanticaabbadia.it,10,,
TORINO,TORINO,10100,PENSIONATO LAVORATORI LA SALETTE,10146,20,3663573585,,11710753,torinolasalette@gmail.com,,10,3.5,PORTA SUSA
TORINO,TORINO,10100,PENSIONATO REBADUE,10155,22,112429711,,112429799,economato@rebanet.it,www.rebanet.it,20 ,6,PORTA SUSA
TORINO,TORINO,10100,PENSIONATO ROSA GOVONE,10123,7,3420184774,,114319268,casagovone@coopaccomazzi.it,www.coopaccomazzi.it,50 ,2.5,PORTA NUOVA / SUSA
TORINO,TORINO,10100,PENSIONATO UNIVERSITARIO ARTIGIANELLI,10122,14,3484008019,,115625824,universitari@educarecoop.org,,0,0.8,PORTA SUSA
TORINO,TORINO,10100,PENSIONATO UNIVERSITARIO SALESIANO SAN GIUSEPPE,10152,36,115224822,,115224395,cus.valdocco@31gennaio.net,,30 ,2,PORTA SUSA
TORINO,TORINO,10100,ATTIC HOSTEL TORINO,10121,2,1119704651,,1119704651,info@attichostel.it,www.attichostel.it,10 ,0.2,PORTA NUOVA
TORINO,TORINO,10100,BAMBOO ECO HOSTEL,10154,90/D,11235084,,,info@bambooecohostel.it,www.bambooecohostel.it,,4,PORTA NUOVA / SUSA
TORINO,TORINO,10100,CAMPLUS LINGOTTO,10127,230,116939393,,116939350,lingotto.guest@camplus.it,www.camplusguest.it,10 ,5,PORTA NUOVA
TORINO,TORINO,10100,CAMPUS SAN PAOLO,10141,97,113828416,,115175486,,www.campussanpaolo.it,15 ,3.2,PORTA SUSA
TORINO,TORINO,10100,CASA DELLA GIOVANE,10122,8,114362681,,114390169,toconsolata@fma-ipi.it,,50 ,2,PORTA NUOVA
TORINO,TORINO,10100,CASA ENRICHETTA DOMINICI,10128,34,115166532,3317049877,115166599,casasantanna.to@istituto-santanna.it,,500 ,0.6,PORTA NUOVA
TORINO,TORINO,10100,CASA FEMMINILE VALDESE,10125,15,116692838,,1119834888,csd.casa.femminile@tiscali.it,www.torinovaldese.org,,0.2,PORTA NUOVA
TORINO,TORINO,10100,CASA MAMMA MARGHERITA,10152,9,115224201,,115224680,accoglienza@valdocco.it,www.accoglienza.valdocco.it,50 ,1,PORTA SUSA
TORINO,TORINO,10100,CENTRO FORMATIVO ONAOSI,10122,4,115290500,,115290510,cftorino@onaosi.it,,,,
TORINO,TORINO,10100,CENTRO PUZZLE,10137,2,113119900,,113010078,info@centropuzzle.it,www.centropuzzle.org,10 ,6.5,PORTA NUOVA
TORINO,TORINO,10100,COLLEGIO UNIVERSITARIO R. EINAUDI - SEZ. CROCETTA,10141,24,113851922,,118171008,concorsi@collegioeinaudi.it,www.collegioeinaudi.it,,3.2,PORTA NUOVA
TORINO,TORINO,10100,COLLEGIO UNIVERSITARIO R. EINAUDI-SEZ. VALENTINO,10125,30,114222505,,118171008,concorsi@collegioeinaudi.it,www.collegioeinaudi.it,,0.85,PORTA NUOVA
TORINO,TORINO,10100,COLLEGIO UNIVERSITARIO SAN GIOVANNI EVANGELISTA,10125,1,1119839492,,110703992,cus.sangiovanni@31gennaio.net,,100,0.5,PORTA NUOVA
TORINO,TORINO,10100,COLLEGIUM TRINITATIS,10129,5/A,110810354,,,info@collegiumtrinitatis.it,www.trini.to.it,30 ,1.7,PORTA NUOVA
TORINO,TORINO,10100,CONVITTO PER STUDENTI E LAVORATORI ORIONE-MAFFEI,10143,9,115690832,115212812,117935870,orionecooperativa@libero.it,www.camereaffitto.it,,3,PORTA SUSA
TORINO,TORINO,10100,CONVITTO SAN SALVARIO,10125,58,116694728,,,contatti@sport-residence.it,www.sportresidence.com,100 ,1,FS
TORINO,TORINO,10100,DELLA BARCA,10156,59,112730972,,,ostello.abbadia@virgilio.it,www.ostelloanticaabbadia.it,10,,
TORINO,TORINO,10100,D'ORHO-DON ORIONE HOUSING,10122,22,3883254331,,,dorho.torino@gmail.com,,,1,PORTA SUSA
TORINO,TORINO,10100,GIOVANNA D'ARCO VARSITY HOUSE,10123,21,110208430,,,segreteria@residenzagiovannadarco.it,www.residenzagiovannadarco.it,,0,PORTA NUOVA
TORINO,TORINO,10100,LINK HOUSE,10128,11/H,115631562,,110700808,segreteria@cooperativaparadigma.it,www.cooperativaparadigma.it,1,0.5,PORTA NUOVA
TORINO,TORINO,10100,MICHELE MAGONE,10152,12,115224279,,,casamichelemagone@gmail.com,,30 ,2,PORTA SUSA
TORINO,TORINO,10100,OSPITERIA DELL'ARSENALE DELLA PACE,10152,18/27,114368566,,115215571,ospiteria@sermig.org,www.sermig.org/ospiteria,20 ,3,PORTA SUSA
TORINO,TORINO,10100,PENSIONATO MADRE CABRINI,10124,1,11835858,,11835859,msccabrini.to@libero.it,,10 ,2,PORTA NUOVA
TORINO,TORINO,10100,PENSIONATO REBAUNO,10155,22,112429711,,112429799,economato@rebanet.it,www.rebanet.it,20 ,6,PORTA SUSA
TORINO,TORINO,10100,PENSIONATO UNIVERSITARIO VALDOCCO,10152,36,115224822,,115224395,cus.valdocco@31gennaio.net,,30 ,2,PORTA SUSA
TORINO,TORINO,10100,RESIDENZA UNIVERSITARIA CARLO MOLLINO,10138,90,1119752000,3460763219,119752171,residenza.mollino@camplus.it,www.camplusapartments.it,5 ,2,PORTA SUSA
