"university","endowment1","endowment2","MULTIPLIED","NEW FORMAT ENDOWMENT1","NEW FORMAT ENDOWMENT2","column1","column2","FINAL ENDOWMENT1","FINAL ENDOWMENT2","numFaculty","numDoctoral","country","numStaff","established","primarykey","numPostgrad","numUndergrad","numStudents1","numStudents2","window","isdupe"
"%C3%89cole Polytechnique de Montr%C3%A9al","145","1000000","145000000","145000000","","","","145000000","","","","United States","220","1873","%C3%89cole Polytechnique de Montr%C3%A9al-1873","1615","3929","","","","false"
"Acadia University","4.00E+07","","","4.00","7","10000000","40000000","40000000","","","","United States","211","1838","Acadia University-1838 Queen's College established. Now Acadia University.","76","2760","3485","","%C3%89cole Polytechnique de Montr%C3%A9al-1873","false"
"Bowdoin College","9.04E+08","","","9.04","8","100000000","903999999.9999999","903999999","9999999","217","","United States","","1794","Bowdoin College-1794-06-24","Some postdoctoral students and visiting scholars","1777","","","Acadia University-1838 Queen's College established. Now Acadia University.","false"
"California State University%2C Los Angeles","19.2","1000000","19200000","19200000","","","","19200000","","1031","","United States","","1947","California State University%2C Los Angeles-1947","4611","16008","","","Bowdoin College-1794-06-24","false"
"Cape Breton University","3400","","","3400","","","","3400","","","","Canada","","1951","Cape Breton University-1951","181","2987","3168","","California State University%2C Los Angeles-1947","false"
"Confederation College","4700000","","","4700000","","","","4700000","","","","United States","","1967","Confederation College-1967","","pre-university students; technical","21160","","Cape Breton University-1951","false"
"Defiance College","12.5","1000000","12500000","12500000","","","","12500000","","86","","United States","","1850","Defiance College-1850","100","900","1000","","Confederation College-1967","false"
"Durham University","61.3","1000000","61300000","61300000","","","","61300000","","","","United States","","1832","Durham University-1832","4521","11278","16355","","Defiance College-1850","false"
"East Carolina University","130.0","1000000","130000000","130000000","","","","130000000","","1804","","United States","5354","3/8/07","East Carolina University-3/8/07","6417","20974","27816","","Durham University-1832","false"
"Hamilton College","7.02E+08","","","7.02","8","100000000","702000000","702000000","","219","","United States","","1793","Hamilton College-1793 as Hamilton-Oneida Academy, 1812 as Hamilton College","","1812","","","East Carolina University-3/8/07","false"
"Idaho State University","40200750","","","40200750","","","","40200750","","838","","United States","1269","1901","Idaho State University-1901","2661","12892","15553","","Hamilton College-1793 as Hamilton-Oneida Academy, 1812 as Hamilton College","false"
"Lancaster University","5950000","","","5950000","","","","5950000","","1490","","United States","3025","1964","Lancaster University-1964","3346","8780","12125","","Idaho State University-1947","false"
"Lumi%C3%A8re University Lyon 2","121","","","121","","","","121","","","1355","United States","","1835","Lumi%C3%A8re University Lyon 2-1835","7046","14851","27393","","Lancaster University-1964","false"
"Osaka University of Foreign Studies","billion","","","billion","","","","billion","","Day Course and Evening Course","","United States","","1921","Osaka University of Foreign Studies-Founded Mar. 1921,","","","","","Lumi%C3%A8re University Lyon 2-1835","false"
"Otterbein University","70,025,283","","","70,025,283","","","","70025","283","","","United States","","1847","Otterbein University-1847","400","2700","","","Osaka University of Foreign Studies-Founded Mar. 1921,","false"
"Paris Universitas","15","","","15","","","","15","","5500","8000","United States","","2005","Paris Universitas-2005","","25000","70000","","Otterbein University-1847","false"
"Rocky Mountain College","16586100","","","16586100","","","","16586100","","","","United States","","1878","Rocky Mountain College-1878","66","878","894","","Paris Universitas-2005","false"
"Santa Clara University College of Arts & Sciences","603.6","1000000","603600000","603600000","","","","603600000","","239","","United States","","1851","Santa Clara University College of Arts & Sciences-1851","1047","2786","8846","","Rocky Mountain College-1878","false"
"Savonia University of Applied Sciences","100","1000000","100000000","100000000","","","","100000000","","","","United States","600","1992","Savonia University of Applied Sciences-provisional 1992","100","6400","4500","","Santa Clara University College of Arts & Sciences-1851","false"
